,anatomical_region,scan_count,snr_mean,snr_median,cnr_mean,quality_mean,confidence_mean
0,shoulder,572,47.119922878132655,45.65972666676871,6.872419166578774,0.7327736528837379,0.7461221192830952
1,lumbar,2299,101.48468482986097,76.47672119958635,17.706880261667738,0.8755667023576059,0.7205485620188803
2,abdomen,1119,82.32358080508423,53.38267910579123,13.288476956986614,0.6909551474250165,0.6781743252956381
3,hip,215,70.32410987836828,33.00982456140351,19.36773940173191,0.7715880236110406,0.7561281838408446
4,knee,894,113.94294865362147,80.34147160997733,32.605721264385934,0.8699071293953207,0.759171278389347
5,brain,3980,181.62242430110916,167.84292579389836,26.396204573291506,0.8581527935645367,0.7407258630963908
6,elbow,42,49.758915005329115,39.89816188234134,7.793404915338871,0.7709385084736753,0.7095918573094178
7,ankle,315,59.81008284972868,56.63299534954639,16.517853580452286,0.8723548786159625,0.7427152709121587
8,breast,356,174.74640010050263,104.14979624641833,88.87771159819589,0.8163641824621325,0.6588804280273868
9,heart,103,97.92530806258233,44.25056386079909,20.684977075496025,0.7841101068084102,0.7507450619938852
10,default,656,108.99441034746434,80.98264521264498,23.273735983807804,0.8031968985604971,0.7263184556062359
11,wrist,56,58.145628347197885,45.56471861958333,9.261375832369326,0.8009069092610515,0.7392458435616956
